Manufacturer,Model,price,Wheelbase,Width,Length,Height,body
Dodge        ,Intrepid,4300,113,"74,7","203,7","55,9",sedan
Dodge        ,Stratus,3900,108,"70,6","191,2","54,9",sedan
Dodge        ,Neon,3550,105,"74,4","174,4",56,sedan
Dodge        ,Ram Van,7200,"127,2","78,8","208,5","80,5",van
Ford         ,Explorer,64300,"111,6","70,2","190,7","68,3",crossover
Ford         ,Explorer,40000,"111,6","70,2","190,7","68,3",crossover
Ford         ,Focus,24300,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,17900,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,16561,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,16400,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,15900,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,15505,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,13200,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,12500,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,12000,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,11800,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,11500,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,11400,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,11000,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,10900,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,10400,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,9950,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,9800,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,9750,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,9300,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,9200,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,9200,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,9000,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,7900,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,7500,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,7300,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,7200,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,7100,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,6600,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,6200,103,"66,9","174,8","53,9",hatch
Ford         ,Focus,5400,103,"66,9","174,8","53,9",hatch
Ford         ,Escort,3300,"98,4",67,"174,7","53,3",hatch
Ford         ,Escort,3100,"98,4",67,"174,7","53,3",hatch
Ford         ,Escort,1900,"98,4",67,"174,7","53,3",hatch
Ford         ,Escort,1550,"98,4",67,"174,7","53,3",hatch
Ford         ,Escort,1500,"98,4",67,"174,7","53,3",hatch
Ford         ,Focus,1200,103,"66,9","174,8","53,9",hatch
Ford         ,Escort,1199,"98,4",67,"174,7","53,3",hatch
Ford         ,Escort,1190,"98,4",67,"174,7","53,3",hatch
Ford         ,Escort,700,"98,4",67,"174,7","53,3",hatch
Ford         ,Escort,620,"98,4",67,"174,7","53,3",hatch
Ford         ,Focus,0,103,"66,9","174,8","53,9",hatch
Ford         ,Mustang,56900,"101,3","73,1","183,2","53,2",other
Ford         ,Mustang,56700,"101,3","73,1","183,2","53,2",other
Ford         ,Mustang,53900,"101,3","73,1","183,2","53,2",other
Ford         ,Mustang,45000,"101,3","73,1","183,2","53,2",other
Ford         ,Ranger,40600,"117,5","69,4","200,7","69,4",other
Ford         ,Ranger,23500,"117,5","69,4","200,7","69,4",other
Ford         ,Mustang,20000,"101,3","73,1","183,2","53,2",other
Ford         ,Mustang,16699,"101,3","73,1","183,2","53,2",other
Ford         ,Mustang,16699,"101,3","73,1","183,2","53,2",other
Ford         ,Ranger,16600,"117,5","69,4","200,7","69,4",other
Ford         ,Focus,11000,103,"66,9","174,8","53,9",other
Ford         ,Ranger,5100,"117,5","69,4","200,7","69,4",other
Ford         ,Ranger,4900,"117,5","69,4","200,7","69,4",other
Ford         ,Escort,1186,"98,4",67,"174,7","53,3",other
Ford         ,Mustang,0,"101,3","73,1","183,2","53,2",other
Ford         ,Focus,12500,103,"66,9","174,8","53,9",sedan
Ford         ,Focus,12200,103,"66,9","174,8","53,9",sedan
Ford         ,Focus,12200,103,"66,9","174,8","53,9",sedan
Ford         ,Focus,12099,103,"66,9","174,8","53,9",sedan
Ford         ,Focus,11999,103,"66,9","174,8","53,9",sedan
Ford         ,Focus,11950,103,"66,9","174,8","53,9",sedan
Ford         ,Focus,11200,103,"66,9","174,8","53,9",sedan
Ford         ,Focus,10990,103,"66,9","174,8","53,9",sedan
Ford         ,Focus,10600,103,"66,9","174,8","53,9",sedan
Ford         ,Focus,10400,103,"66,9","174,8","53,9",sedan
Ford         ,Focus,10400,103,"66,9","174,8","53,9",sedan
Ford         ,Focus,9900,103,"66,9","174,8","53,9",sedan
Ford         ,Focus,8950,103,"66,9","174,8","53,9",sedan
Ford         ,Focus,8781,103,"66,9","174,8","53,9",sedan
Ford         ,Focus,8000,103,"66,9","174,8","53,9",sedan
Ford         ,Focus,7999,103,"66,9","174,8","53,9",sedan
Ford         ,Focus,7300,103,"66,9","174,8","53,9",sedan
Ford         ,Focus,6400,103,"66,9","174,8","53,9",sedan
Ford         ,Focus,5700,103,"66,9","174,8","53,9",sedan
Ford         ,Focus,4950,103,"66,9","174,8","53,9",sedan
Ford         ,Focus,4300,103,"66,9","174,8","53,9",sedan
Ford         ,Taurus,2200,"108,5",73,"197,6","55,1",sedan
Ford         ,Escort,1300,"98,4",67,"174,7","53,3",sedan
Ford         ,Escort,1050,"98,4",67,"174,7","53,3",sedan
Ford         ,Focus,15400,103,"66,9","174,8","53,9",vagon
Ford         ,Focus,15300,103,"66,9","174,8","53,9",vagon
Ford         ,Focus,10200,103,"66,9","174,8","53,9",vagon
Ford         ,Focus,9850,103,"66,9","174,8","53,9",vagon
Ford         ,Focus,8900,103,"66,9","174,8","53,9",vagon
Ford         ,Focus,6700,103,"66,9","174,8","53,9",vagon
Ford         ,Focus,4500,103,"66,9","174,8","53,9",vagon
Ford         ,Escort,3300,"98,4",67,"174,7","53,3",vagon
Ford         ,Focus,3300,103,"66,9","174,8","53,9",vagon
Ford         ,Escort,3200,"98,4",67,"174,7","53,3",vagon
Ford         ,Escort,2000,"98,4",67,"174,7","53,3",van
Ford         ,Escort,1853,"98,4",67,"174,7","53,3",van
Honda        ,CR-V,41000,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,40900,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,40900,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,38000,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,30500,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,27803,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,26000,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,26000,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,25000,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,22000,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,20500,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,19900,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,19800,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,19300,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,18900,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,18900,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,17000,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,16900,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,16500,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,16300,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,16300,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,16200,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,15700,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,15500,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,15400,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,15300,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,14800,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,14500,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,13000,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,11500,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,9900,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,9300,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,8500,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,8500,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,7000,"103,2","68,9","177,6","67,1",crossover
Honda        ,CR-V,6500,"103,2","68,9","177,6","67,1",crossover
